_type,_id,name,type,latitude,longitude
location,393496,Bergen,location,60.39293,5.324579
location,373033,Berne,location,46.94809,7.44744
location,460643,Berdyans'k,location,46.7663,36.79882
airport,314826,Berlin Tegel,airport,52.5548,13.28903
airport,314827,Berlin Schönefeld,airport,52.388725,13.518087
null
